연번,읍면,리,설치년도,주소(세부위치),수량,주이용자,관리부서,관리자
413,황산,신정,2016,한자리226-15(마을회관앞),1,마을주민,황산면장,신정이장
414,황산,신흥,2016,호동리791-1(마을팔각정),4,마을주민,황산면장,신흥이장
415,황산,옥연,2016,옥동리29-17(마을회관),2,마을주민,황산면장,옥연이장
416,황산,우항,2016,우항리313-6(회관앞),1,마을주민,황산면장,우항이장
417,황산,원호,2016,원호리639-4번지(마을회관앞),4,마을주민,황산면장,원호이장
418,황산,소정,2017,부곡리695-4(마을회관뒤),4,마을주민,황산면장,소정이장
419,황산,외입,2017,외입리908-1(마을회관앞),4,마을주민,황산면장,외입이장
420,황산,교동,2018,원호리324-8(교동마을회관앞),3,마을주민,황산면장,교동이장
421,황산,기성,2018,우항리573-1(마을창고),4,마을주민,황산면장,기성이장
422,황산,내산,2018,관춘리1063,4,마을주민,황산면장,내산이장
423,황산,신성,2018,관춘리189(팔각정앞),6,마을주민,황산면장,신성이장
424,황산,만년,2019,송호리385-6(마을회관앞),3,마을주민,황산면장,만년이장
425,황산,덕암,2021,연당리35-1(회관앞),4,마을주민,황산면장,덕암이장
426,황산,병온,2021,송호리(688-3(회관창고),3,마을주민,황산면장,송호이장
427,황산,신곡,2021,부곡리100-4(회관앞),3,마을주민,황산면장,신곡이장
428,황산,춘정,2021,부곡리492-5(경로당),3,마을주민,황산면장,춘정이장
