설치주소,기구종류,기구수량,설치년도,관리주기,관리부서,데이터기준일자
전라북도 정읍시 영원면 운학2길 8-2(경로당),"상체근육풀기, 하늘걷기",2,2016,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 영원면 은선리 646 (경로당 옆),"파도타기+공중걷기, 허리돌리기+달리기운동",2,2019,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 영원면 은선리 581-25(모정),"달리기+싸이클, 하늘걷기+큰활차돌리기",2,2021,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 영원면 은선리79-1(모정),"작은활차머신+공중걷기, 허리돌리기+달리기, 윗몸일으키기",3,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 영원면 은선리 928(백정기기념관 앞),"오금펴기, 무릅펴기, 허리돌리기, 양팔줄당기기, 3단철봉",5,2006,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 영원면 풍월리 292 (마을회관 앞),"양팔줄당기기, 허리돌리기, 파도타기",3,2013,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 영원면 풍월리 269-3,"상체근육풀기+양팔줄당기기, 파도타기+허리돌리기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 영원면 풍월리 202-15(마을광장),"공중걷기, 상체근육풀기, 허리돌리기",3,2017,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 영원면 풍월리 689-2(마을회관 옆),"파도타기+공중걷기, 달리기+허리돌리기",2,2019,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 영원면 풍월리 445-25(풍월보건진료지소 앞 광장),"파도타기+공중걷기, 허리돌리기+달리기운동 / 등허리젖히기, 양팔중당기기, 3단철봉",5,2019,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 영원면 풍월리 840-52 (경로당 앞),"등허리지압기+어깨근육풀기, 하늘걷기+허리돌리기",2,2019,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 영원면 신영리 400-1(마을공터),"워킹트레이너머신, 스윙워커머신, 허리돌리기",3,2010,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 영원면 후지리 710,"줄당기기+근육풀기, 허리돌리기 세트",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 영원면 후지리 239-1 (경로당 옆),"파도타기+공중걷기, 허리돌리기+달리기운동",2,2019,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 영원면 후지리 479-1,"파도타기+공중걷기, 큰활차머신+허리돌리기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 덕천면 상학리 703-12,"양팔당기기,허리돌리기,하늘걷기, 등허리지압기",4,2012,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 덕천면 상학리 644-1(상학복지회관),"허리돌리기, 양팔당기기, 하늘걷기, 3인 허리돌리기",4,2012,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 덕천면 달천리 968-6,"양팔당기기, 허리돌리기, 하늘걷기",3,2009,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 덕천면 달천리 938-3(모정 앞),"온몸근육풀기, 허리돌리기",2,2011,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 덕천면 우덕리 526-1,"양팔당기기, 허리돌리기",2,2009,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 덕천면 신월리 433-2(경로당),"양팔줄당기기, 허리돌리기,하늘걷기",3,2012,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 덕천면 우덕리 997-33(경로당),"양팔줄당기기, 허리돌리기, 하늘걷기",3,2012,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 덕천면 하학리 680-1(모정 앞),"양팔줄당기기, 허리돌리기, 파도타기",3,2012,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 가정마을경로당,"양팔당기기,허리돌리기,하늘걷기, 등허리지압기",4,2012,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 덕천면 신월리 261-10(신월마을경로당),허리돌리기,1,2012,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 덕천면 161-6(삼봉마을경로당),"양팔줄당기기, 허리돌리기, 하늘걷기, 등허리지압기",3,2012,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 제야마을경로당,"양팔줄당기기, 허리돌리기, 하늘걷기, 등허리지압기",4,2012,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 두지2길 3-3(모정 뒤),"양팔당기기, 허리돌리기, 하늘걷기, 등허리지압기",3,2012,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 덕천면 우덕리 758-1(용전마을경로당),"양팔로프당기기, 허리돌리기, 하늘걷기",3,2013,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 덕천면 하학리 437-4(모정 앞),"양팔줄당기기, 허리돌리기, 파도타기",3,2013,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 덕천면 황토현로 796(덕천경로당),"양팔줄당기기, 허리돌리기, 파도타기",3,2014,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 덕천면학전길19(경로당),"물결타기, 허리돌리기,어깨유연성운동",3,2014,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 덕천금계2길17-5(경로당),"물결타기, 허리돌리기, 어깨유연성운동",3,2014,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 덕천면 달천리 938-3(모정 앞),"물결타기,달리기, 등허리지압기",3,2015,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 덕천면 상학리8(대죽경로당),"공중걷기, 상체근육풀기, 허리돌리기",3,2017,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 덕천면 내정1길 12(내정마을 모정 옆),"양팔줄당기기+파도타기, 허리돌리기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 덕천면 신월송산길 16(신송마을회관 옆),"양팔줄당기기+파도타기, 허리돌리기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 이평말목장터길9-4(무릉마을경로당),"물결타기, 하늘걷기, 상체근육풀기",3,2014,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 이평 하송리 33-2(만석보 제방),"양팔줄당기기, 하늘걷기",2,2009,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 이평 장내리 542-6(전봉준고택 앞),"양팔줄당기기, 허리돌리기, 거꾸로매달리기",3,2011,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 이평면 요골길60(경로당),"양팔줄당기기, 허리돌리기, 하늘걷기",3,2012,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 이평 장내리 60-1 (모정앞),"양팔줄당기기, 허리돌리기",2,2009,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 이평 팔선리 141-1(마을공터),"양팔줄당기기, 허리돌리기, 파도타기",3,2013,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 이평 평령리 63-2(경로당),"양팔줄당기기, 허리돌리기, 파도타기",3,2013,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 이평면 두전리 687-1(경로당),"양팔줄당기기, 허리돌리기, 파도타기",3,2013,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 이평면 오산2길296-2(모정),"양팔줄당기기, 허리돌리기",2,2014,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 이평 창골길9-12(창동 쉼터),"파도타기, 온몸근육풀기, 평행봉",3,,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 이평 창동2길 6(신송 경로당),"허리돌리기, 하체흔들기, 로프당기기",3,2015,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 이평면 창전1길 24-5(창전 경로당),"하늘걷기+달리기, 양팔줄당기기+철봉기, 거꾸로매달리기",3,2015,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 이평면 황전1길25-10(황전경로당),"하늘타기, 달리기, 허리돌리기, 팔관절운동+원그리기",4,2015,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 이평 산매길130-1(산매경로당),"팔관절운동+원그리기, 앉아당기기+앉아밀어주기",2,2015,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 이평 오금양지길63-1(양지 경로당),"허리돌리기, 하체흔들기, 로프당기기",3,2015,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 이평면 평령396-1(지지 경로당),"허리돌리기, 어꺠유연성운동기, 물결타기",3,2015,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 이평 대량길 20(마을공터),팔관절운동+원그리기,1,2015,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 이평면 팔선리 379-2(모정),"상체근육풀기, 물결타기",2,2016,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 이평면 오금리 1134(정부양곡창고),"파도타기, 허리돌리기, 스텝밟기, 어깨근육풀기",4,2016,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 이평면 오금리 847-4(모정),"허리돌리기, 하늘걷기",2,2016,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 이평면 산내리 90-1(모정),"허리돌리기, 하늘걷기, 상체근육풀기",3,2017,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 이평면 마항리 141-5,"상체근육풀기, 허리돌리기, 노젖기운동",3,2017,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 이평면 오금리 754-3(마을회관),"하체근육풀기, 어깨유연성운동, 허리돌리기",3,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 이평면 오금리 898-5(마을회관),"파도타기+공중걷기, 달리기+허리돌리기",2,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 이평면 청량리 165-25(모정),"잔은활차머신+공중걷기, 허리돌리기+달리기",2,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 이평면 두지리 29-1(모정),"허리돌리기,파도타기,큰활차머신",3,2019,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 이평면 하송리 252-1,"줄당기기+상체근육풀기, 하늘걷기+싸이클",2,2019,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 이평면 창동리 133-6,"줄당기기+상체근육풀기, 허리돌리기+하늘걷기",2,2019,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 이평면 월서길 6(월산마을회관 앞),"하늘걷기+허리돌리기, 줄당기기+상체근육풀기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 이평면 하송길 5(하송마을회관 앞),"하늘걷기+허리돌리기, 줄당기기+상체근육풀기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 이평면 평령리 136-1,"싸이클+등허리압기, 상체근육풀기+허리돌리기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 이평면 소송길 13,"상체근육풀기, 거꾸로매달리기, 물결타기",3,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 이평면 도천길 58,"줄당기기+상체근육풀기, 싸이클+달리기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 이평면 두지리 68-3,"허리돌리기+싸이클, 파도타기+상체근육풀기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 이평면 석정길 23(석정마을회관 앞),"양팔줄당기기+싸이클, 물결타기+하늘걷기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 이평면 평령리 620-1 (한수마을회관 앞),"허리돌리기+물결타기, 등허리지압기+상체근육풀기",2,2022,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 정우 초강리 172-3(천덕경로당),"허리돌리기, 로프당기기, 공중걷기",3,2010,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 정우면 수금리 658(정우연립 회관),"로프당기기, 허리돌리기, 좌우흔들기",3,2012,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 정우 화천리577-9(마을회관),"로프당기기, 허리돌리기, 공중걷기",3,2014,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 정우면 장순리 802(모정),"로프당기기, 허리돌리기, 공중걷기",3,2014,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 정우면 대산리 6-10(모정),"로프당기기, 허리돌리기",2,2014,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 정우면 우산리 389-3(회관앞),"로프당기기, 허리돌리기",2,2014,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 정우면 송배1길 46-4(경로당),"로프당기기, 허리돌리기, 공중걷기",3,2016,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 정우면 장순리 161-4(마을회관),"양팔줄당기기,공중걷기,허리돌리기",3,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 정우면 태고로 1013-4,"달리기+어깨유연성운동,노젓기, 등허리젖히기",3,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 정우면 수회길 76-6(마을 승강장 뒤),"작은활차머신+공중걷기, 허리돌리기+달리기운동",2,2019,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 정우면 대서1길 28(마을회관),"작은활차머신+공중걷기, 허리돌리기+달리기운동",2,2019,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 정우면 구성길 5-4(마을회관 앞 광장),"허리돌리기+달리기, 작은활차머신+공중걷기",2,2019,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 정우면 우일리 147-1,"허리돌리기+달리기, 작은활차머신+공중걷기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 정우면 화천2길,"허리돌리기+달리기, 작은활차머신+공중걷기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 정우면 망담1길 10-2 ,"파도타기+상체근육풀기,하늘걷기+허리돌리기(2020), 등허리지압기, 싸이클링+어깨근육풀기(2022)",4,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 정우면 초강6길 36 ,"물결타기+어깨유연성운동, 하늘걷기+허리돌리기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 태인면 태남리 277-3(백암초등학교 운동장),"하늘걷기, 파도타기, 양팔줄당기기, 허리돌리기",4,2010,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시  태인 태용신길 29(샘들내@),달리기+어깨유연성운동,1,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 태인면 매계리산1-8(모정),"양팔줄당기기, 상체근육풀기, 허리돌리기",1,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 태인면 태창리130-1(실내게이트볼장 옆),"공중걷기, 상체근육풀기, 허리돌리기",3,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 태인면 오봉리 344-1(모정 옆),"작은활차머신+공중걷기, 허리돌리기+달리기운동",2,2019,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 태인면 박산리 353,"하늘걷기+어깨유연성,허리돌리기+달리기",2,2019,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 태인면 고천리 274-10(원고천마을 경로당 앞),"허리돌리기, 양팔줄당기기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 태인면 태서리 684 (분동마을 모정 옆),"상체근육풀기+달리기, 허리돌리기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 태인면 오류리 107 ,"달리기+허리돌리기,줄당기기+상체근육풀기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 태인면 태성리 492-2 ,"싸이클+허리돌리기, 양팔로프당기기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 태인면 거산리 663(상동구마을 모정 옆),양팔줄당기기+허리돌리기,1,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 태인면 태서리 146-58(하동구 마을회관 옆 공터),양팔줄당기기+허리돌리기,1,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시  태인면 태시기길 29-1 (시기 마을회관),"달리기+로프당기기, 하늘걷기",2,2022,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 감곡 방교리 561-2(체육공원),"공중걷기, 파도타기, 허리돌리기,양팔줄당기기",4,2010,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 반룡2길 17(경로당),"허리돌리기, 양팔줄당기기",2,2014,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 감곡면 옥학길 103-5(경로당),"양팔줄당기기, 허리돌리기, 하늘걷기",3,2016,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 감곡면 순촌1길 43-1(경로당),허리돌리기+하늘걷기,1,2016,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 감곡면 장촌길 9-9(모정),"허리돌리기, 하늘걷기",2,2016,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 감고견 중평길72(경로당),허리돌리기+하늘걷기,1,2016,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 감곡면 오주길 84(경로당),"허리돌리기+하늘걷기, 달리기",2,2016,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 용오길 32(경로당),"양팔줄당기기, 하늘걷기+등허리지압기",2,2017,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 석점1길 43-14(경로당),"허리돌리기+하늘걷기, 양팔줄당리기",2,2017,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 감곡면 화봉리 132-4(모정),"허리돌리기+하늘걷기, 양팔줄당리기",2,2017,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 감곡면 계룔리 153-1(경로당),"허리돌리기+하늘걷기, 양팔줄당리기",2,2017,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 감곡면 유정리1176-1(경로당),"양팔중당기기, 상체근육풀기+허리돌리기, 하늘걷기",3,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 감곡면 진흥리 756-12(경로당),"줄당기기+상체근육풀기, 허리돌리기+하늘걷기",2,2019,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 감곡면 화봉리 201-11(모정),"양팔줄당기기+하늘걷기, 상체근육풀기+허리돌리기",2,2019,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 감곡면 학이길 8 (학이마을회관),"양팔줄당기기+하늘걷기, 상체근육풀기+허리돌리기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 감곡면 풍촌길 64 (풍촌마을 광장),"양팔줄당기기+하늘걷기, 상체근육풀기+허리돌리기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
"전라북도 정읍시 감곡면 과반1길 20(모정), 과반2길 31(모정)","하늘걷기+허리돌리기, 하늘걷기+등허리지압기, 하늘걷기+싸이클",3,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 감곡면 모산2길 11(경로당),"철봉+양팔줄당기기, 오금펴기+어깨유연성운동",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 감곡면 신평길 57-4(신평마을회관),"파도타기+공중걷기, 허리돌리기+큰활차머신",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 옹동면 매정리 1855-1(농촌건강장수마을),"어깨펴기, 달리기, 허리돌리기, 자전거타기",3,2014,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 옹동면 산성리 699(화엄사),"공중걷기, 로프당기기, 몸통돌리기",3,2005,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 옹동면 오성길 54,"양팔로프당기기, 허리돌리기, 하늘걷기",3,2016,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 옹동면 삼리1길 21(경로당),"입식허리돌리기+공중걷기,옆으로몸통흔들기+큰팔돌리기",2,2017,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 옹동면 산성길 13(경로당),"입식허리돌리기+공중걷기, 옆으로몸통흔들기+큰팔돌리기",2,2017,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 옹동면 칠석리 748-59(마을회관),"입식허리돌리기+공중걷기, 싸이클론+상체근육풀기",2,2017,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 옹동면 외칠길102(경로당),"입식허리돌리기+공중걷기, 옆파도타기+상체근육풀기",2,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 옹동면 내동2길 1-3,"작은활차머신+공중걷기, 허리돌리기+달리기",2,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 옹동면 정동길 3(정동경로당 앞),"싸이클+달리기, 허리돌리기+어깨근육풀기",2,2019,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 옹동면 칠석리 172-13(옹동노휴제),"큰활차머신+공중걷기,허리돌리기+달리기",2,2019,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 옹동면 내칠길 16 (내칠마을 모정 옆) ,"어꺠유연성운동+하늘걷기, 허리돌리기(2인용)",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 옹동면 용호리 619-1 (송월경로당 앞),"하늘걷기+허리돌리기, 줄당기기+상체근육풀기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 옹동면 상산2길 16-8(용상경로당 앞),"달리기+등지압기, 큰활차+양팔줄당기기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 옹동면 비봉리 251(수암마을 마을회관 옆),"허리돌리기+달리기운동, 큰활차머신, 거꾸로 매달리기",3,2021,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 칠보면 백암리 1625(원백마을회관 앞),"철봉, 윗몸일으키기, 그네, 평행봉, 역기, 팔굽혀펴기2, 허리돌리기3",8,2010,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 칠보면 시산리 1222-35(게이트볼장 옆),"하늘걷기, 파도타기, 양팔줄당기기, 허리돌리기",4,,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 칠보 반곡리 76-15(세류경로당),"하늘걷기, 원그리기, 허리돌리기",3,,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 칠보 무성리 29-5(경로당),"양팔줄당기기, 허리돌리기, 파도타기",3,2013,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 칠보 시산리577-2(중앙노소재),"역기올리기 원그리기, 옆파도타기",3,2014,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 칠보면 시산리 525-1(영벽정),"가로하늘타기+앉아다리밀기, 윗몸일으키기, 등허리지압기, 원그리기, 온몸허리돌리기, 철봉기+양팔줄당기기",6,2014,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 칠보면 백암 475(경로당),"원그리기, 허리돌리기, 하늘걷기, 파도타기",4,2015,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 칠보면 시산리 1258,"원그리기, 허리돌리기, 하늘걷기",3,2016,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 칠보면 반곡리 401-2(마을회관),"하늘걷기, 허리돌리기, 원그리기",3,2017,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 칠보면 백암리2142,"하늘걷기, 허리돌리기, 원그리기",3,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 칠보면 백암리 1379(모정),"큰활차머신,허리돌리기,양팔줄당기기",3,2019,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 칠보면 백암길 79 (흥이마을회관 광장),"하늘걷기+어깨유연성, 허리돌리기+상체근육풀기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 칠보면 벌수1길 39 (벌수마을회관 광장),"하늘걷기+어깨유연성, 허리돌리기+상체근육풀기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 칠보면 와우리 705-1,"허리돌리기+하늘걷기, 줄당기기+상체근육풀기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 칠보면 축현리 70(축촌마을회관 옆),"하늘걷기+양팔줄당기기, 허리돌리기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 칠보면 반곡리 1012(여옥마을회관 옆),"싸이클+하늘걷기, 달리기",2,2021,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 정읍시 칠보면 반곡리 1436 (벌수마을회관 앞),"싸이클, 양팔로프당기기",2,2022,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 산내면 능교리 649-2(게이트볼장),"허리돌리기, 하늘걷기, 상체근육풀기",3,2014,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 산내면 장금리 790-7(평천경로당),"하늘걷기, 허리돌리기, 상체근육풀기, 평의자",3,2017,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 산내면 종성리 1378(이화동경로당),"하늘걷기, 허리돌리기, 줄당기기, 상체근육풀기",2,2017,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 산내면 사승2길 1(마을회관),"물결타기,허리돌리기,양팔로프당기기",3,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 산내면 능교리 579-2,"양팔줄당기기+파도타기, 등허리지압기+상체근육풀기",2,2019,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 산내면 매죽리 310-1 (매대마을회관 앞),"파도타기+상체근육풀기, 하늘걷기+허리돌리기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 산내면 장금리 990 (광장),"역기내리기+오금펴기, 하늘걷기+허리돌리기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 산내면 능교리 1062-2 (허궁실 마을회관 앞),"허리돌리기+달리기,하늘걷기+어깨유연성",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 산내면 종성리 1184-5,"상체근육풀기+허리돌리기, 양팔로프돌리기+물결타기",2,2022,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 산외면 동곡리 산197-1(채계산전망대),"허리돌리기, 어깨팔 늘리기",2,2014,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 산외면 동곡리 산197-1(채계산 정상),"온몸근육풀기, 양팔 줄 당기기, 철봉, 거꾸로 매달리기, 허리돌리기",5,2001,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 산외면 평사리 122-1(척곡제 쉼터),"사이드 스윙, 싸이클론, 터닝 암",3,2013,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 산외면 상두리 980-1(동진경로당),"옆파도타기, 온몸 근육풀기, 마라톤운동",3,2016,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 산외면 동곡리 산197-1(채계산 등산로),"온몸근육풀기, 양팔 줄 당기기, 철봉, 거꾸로 매달리기, 허리돌리기",5,2001,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 산외면 정량리 967-1(향토기념관 내),"온몸 허리돌리기, 온몸 역기 올리기, 다리 뻗치기, 마라톤 운동, 온몸 근육풀기, 온몸 노젓기",6,2002,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 산외면 평사리 444-1(근린생활체육센터 내),"다리오므리기+양팔당기기, 하늘걷기+y자걷기, 양팔밀기+앉아다리밀기, 지압마사지+사이클",4,2016,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 산외면 화죽리 1179-1(모정),"상체근육풀기, 허리돌리기, 하늘걷기",3,2017,상시,정읍시 시설관리사업소,2022-12-14
