설치주소,기구종류,기구수량,설치년도,관리주기,관리부서,데이터기준일자
전라북도 정읍시 신태인읍 양괴리 산121,"상체근육풀기(대.소), 공중걷기+허리돌리기",2,2022,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신태인읍 백산리 1175-14,"상체근육풀기+달리기, 공중걷기+허리돌리기",2,2022,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신태인읍 하신양2길 37,"상체근육풀기+줄당기기, 공중걷기+허리돌리기",2,2022,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 북면 화해리 4-35 성원@(b동 뒤편 마을공터),"오금펴기, 위몸일으키기, 3단철봉, 무릎펴기, 허리돌리기(2), 양팔줄당기기(2)",9,2007,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 북면 화해리 574-5(체육공원),"공중걷기, 상체근육풀기, 파도타기, 허리돌리기",4,2008,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 북면 한교리 1665(한교리1670 모정 앞),"허리돌리기,공중걷기",2,2010,상시,정읍시 시설관리사업소,2022-12-14
"전라북도 정읍시 북면 복흥리 95-1외2필지(95-2, 912)(마을진입로 전공터)","허리돌리기, 양팔줄당기기, 오금펴기",3,2007,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 북면 마정리 596(북면 칠북로 371 마태교회 공터),"양팔줄당기기, 허리돌리기",2,2010,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 북면 태곡리 936(북면3공단 공원),"허리돌리기,양팔줄당기기",2,2009,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 북면 마정리 1172(북면원마정 2길33 경로당 앞),"양팔줄당기기,허리돌리기",2,2014,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 북면 화해리 219-1(북면 가전길 115 경로당 옆),허리돌리기,1,2014,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 북면 승부리 406-4(북면 금곡길 34-19 경로당 앞),허리돌리기,1,2014,상시,정읍시 시설관리사업소,2022-12-14
