연번,관리번호,위치,설치장소,기구명,데이터기준일
389,소양면-황운리-오성마을-13,소양면 대흥리 1002,소양면 대흥리 1002,거꾸로매달리기,2023-02-01
390,소양면-해월리-신왕1마을-14,소양면 해월신왕길 10,신왕1 경로당 내,노젓기,2023-02-01
391,소양면-해월리-신왕1마을-14,소양면 해월신왕길 10,신왕1 경로당 내,말타기+허리돌리기,2023-02-01
392,소양면-해월리-해월마을-15,소양면 해월리 661,해월경로당 내,마라톤운동+파도타기,2023-02-01
393,소양면-해월리-해월마을-15,소양면 해월리 661,해월경로당 내,구름걷기+노젓기,2023-02-01
394,소양면-해월리-해월마을-15,소양면 해월리 661,해월경로당 내,쭉쭉이+큰활차머신,2023-02-01
395,소양면-화심리-화심마을-16,소양면 화심리 426-5,소양면 화심리 426-5,작은활차머신+스윙워커머신,2023-02-01
396,소양면-화심리-화심마을-16,소양면 화심리 426-5,소양면 화심리 426-5,트위스트머신+워킹트레이너머신,2023-02-01
397,소양면-신원리-상리마을-17,소양면 신원리 305-7,상리마을 경로당 옆,자전거타기+공중걷기,2023-02-01
398,소양면-신원리-상리마을-17,소양면 신원리 305-7,상리마을 경로당 옆,마도타기+역기내리기+큰활차돌리기,2023-02-01
