연번,관리번호,위치,설치장소,기구명,데이터기준일
201,삼례읍-구와리-후와마을-1,삼례읍 구와로 117,후와여성경로당 앞 공터,등허리 지압기,2023-02-01
202,삼례읍-구와리-후와마을-1,삼례읍 구와로 117,후와여성경로당 앞 공터,허리돌리기,2023-02-01
203,봉동읍-낙평리-쌍정마을-1,봉동읍 낙평1길 25,경로당 맞은편,작은활차머신,2023-02-01
204,봉동읍-낙평리-쌍정마을-1,봉동읍 낙평1길 25,경로당 맞은편,트위스트머신,2023-02-01
205,봉동읍-낙평리-쌍정마을-1,봉동읍 낙평1길 25,경로당 맞은편,써핑롤링머신,2023-02-01
206,봉동읍-낙평리-쌍정마을-1,봉동읍 낙평1길 25,경로당 맞은편,체스트풀머신,2023-02-01
207,봉동읍-낙평리-신기마을-2,봉동읍 낙평신기길 25-10,신기마을 모정 옆,허리돌리기,2023-02-01
208,봉동읍-낙평리-신기마을-2,봉동읍 낙평신기길 25-10,신기마을 모정 옆,"가로하늘타기,걷기",2023-02-01
209,봉동읍-낙평리-신기마을-2,봉동읍 낙평신기길 25-10,신기마을 모정 옆,"앉아밀어주기,당기기",2023-02-01
210,봉동읍-낙평리-신기마을-2,봉동읍 낙평신기길 25-10,신기마을 모정 옆,"팔관절운동,원그리기",2023-02-01
211,봉동읍-낙평리-신월마을-3,봉동읍 낙평리 1213-8,신월햇살공원,허리돌리기,2023-02-01
212,봉동읍-낙평리-신월마을-3,봉동읍 낙평리 1213-8,신월햇살공원,파도타기+활차,2023-02-01
213,봉동읍-낙평리-신월마을-3,봉동읍 낙평리 1213-8,신월햇살공원,다리오므리기+양팔당기기,2023-02-01
214,봉동읍-낙평리-신월마을-4,봉동읍 낙평리 1221-7,신월희망공원,싣업머신,2023-02-01
215,봉동읍-낙평리-신월마을-4,봉동읍 낙평리 1221-7,신월희망공원,로윙라이더머신,2023-02-01
216,봉동읍-낙평리-신월마을-4,봉동읍 낙평리 1221-7,신월희망공원,로라맛사지머신,2023-02-01
217,봉동읍-율소리-원율소마을-5,봉동읍 율소2길 44-3,새터경로당,어깨근육풀기,2023-02-01
218,봉동읍-율소리-원율소마을-5,봉동읍 율소2길 44-3,새터경로당,허리돌리기,2023-02-01
219,봉동읍-율소리-봉담마을-6,봉동읍 봉담길 58,농구장 내,원그리기,2023-02-01
220,봉동읍-율소리-봉담마을-6,봉동읍 봉담길 58,농구장 내,허리돌리기,2023-02-01
221,봉동읍-신성리-송정마을-7,신성리 송정마을,신성리 송정마을,허리돌리기,2023-02-01
222,봉동읍-신성리-송정마을-7,신성리 송정마을,신성리 송정마을,공중걷기,2023-02-01
223,봉동읍-신성리-송정마을-7,신성리 송정마을,신성리 송정마을,원그리기,2023-02-01
224,봉동읍-신성리-송정마을-7,신성리 송정마을,신성리 송정마을,윗몸일으키기,2023-02-01
225,봉동읍-신성리-송정마을-7,신성리 송정마을,신성리 송정마을,작은활차,2023-02-01
226,봉동읍-제내리-신촌마을-8,봉동읍 제내신촌1길 19,신촌경로당 옆,팔관절운동+윗몸일으키기,2023-02-01
227,봉동읍-제내리-신촌마을-8,봉동읍 제내신촌1길 19,신촌경로당 옆,앉아당기기+가로하늘타기,2023-02-01
228,봉동읍-제내리-제촌마을-9,봉동읍 제촌길 90,제촌마을 모정 옆,로라마사지머신,2023-02-01
229,봉동읍-제내리-제촌마을-9,봉동읍 제촌길 90,제촌마을 모정 옆,서핑로링머신,2023-02-01
230,봉동읍-제내리-제촌마을-9,봉동읍 제촌길 90,제촌마을 모정 옆,트위스트머신,2023-02-01
231,봉동읍-용암리-주동마을-10,봉동읍 주동길 120,주동경로당 옆,앉아밀어주기,2023-02-01
232,봉동읍-용암리-주동마을-10,봉동읍 주동길 120,주동경로당 옆,팔관절운동,2023-02-01
233,봉동읍-용암리-주동마을-11,봉동읍 서정길 207,정동경로당 옆,허리돌리기,2023-02-01
234,봉동읍-용암리-주동마을-11,봉동읍 서정길 207,정동경로당 옆,팔돌리기,2023-02-01
235,봉동읍-낙평리-신기마을-12,봉동읍 낙평신기길 25-10,신기마을 모정 옆,허리돌리기,2023-02-01
236,봉동읍-낙평리-신기마을-12,봉동읍 낙평신기길 25-10,신기마을 모정 옆,"가로하늘타기,걷기",2023-02-01
237,봉동읍-낙평리-신기마을-12,봉동읍 낙평신기길 25-10,신기마을 모정 옆,"앉아밀어주기,당기기",2023-02-01
238,봉동읍-낙평리-신기마을-12,봉동읍 낙평신기길 25-10,신기마을 모정 옆,"팔관절운동,원그리기",2023-02-01
239,봉동읍-신성리-신상마을-14,봉동읍 신성리 353-1,신상마을 주차장,트위스트 머신,2023-02-01
240,봉동읍-신성리-신상마을-14,봉동읍 신성리 353-1,신상마을 주차장,작은활차 머신,2023-02-01
241,봉동읍-신성리-신상마을-14,봉동읍 신성리 353-1,신상마을 주차장,체스트풀 머신,2023-02-01
242,봉동읍-신성리-신상마을-14,봉동읍 신성리 353-1,신상마을 주차장,서핑롤링머신,2023-02-01
243,봉동읍-구미리-구호마을-15,봉동읍 구미리 767-13,구호경로당 앞,달리기,2023-02-01
244,봉동읍-구미리-16,봉동읍 구미리 668-5,구미교회 주차장,달리기+말타기,2023-02-01
245,봉동읍-구미리-16,봉동읍 구미리 668-5,구미교회 주차장,가로하늘타기+걷기,2023-02-01
246,봉동읍-구미리-16,봉동읍 구미리 668-5,구미교회 주차장,원그리기+허리돌리기,2023-02-01
247,봉동읍-구만리-원구만마을-17,봉동읍 구만길 79,경로당 앞,허리돌리기,2023-02-01
248,봉동읍-구만리-원구만마을-17,봉동읍 구만길 79,경로당 앞,가로하늘타기,2023-02-01
249,봉동읍-구만리-원구만마을-17,봉동읍 구만길 79,경로당 앞,노젓기운동,2023-02-01
250,봉동읍-구만리-원구만마을-18,봉동읍 구만길 28-12,연날리기 체험장 옆,허리돌리기,2023-02-01
251,봉동읍-구만리-원구만마을-18,봉동읍 구만길 28-12,연날리기 체험장 옆,가로하늘타기,2023-02-01
252,봉동읍-구만리-원구만마을-18,봉동읍 구만길 28-12,연날리기 체험장 옆,하늘걷기,2023-02-01
253,봉동읍-은하리-은상마을-19,봉동읍 은하리 540-2,모정 맞은편,양팔줄당기기,2023-02-01
254,봉동읍-은하리-은상마을-19,봉동읍 은하리 540-2,모정 맞은편,어깨근육풀기,2023-02-01
255,봉동읍-고천리-명탄마을-20,봉동읍 고천길 164,모정 옆,허리돌리기,2023-02-01
256,봉동읍-고천리-명탄마을-20,봉동읍 고천길 164,모정 옆,공중걷기,2023-02-01
257,봉동읍-고천리-명탄마을-20,봉동읍 고천길 164,모정 옆,작은활자,2023-02-01
258,용진읍-운곡리-봉계마을,용진읍 운곡리 1067-55,봉계경로당 옆 도로 마당,다리쭉뻗치기,2023-02-01
259,용진읍-운곡리-봉계마을,용진읍 운곡리 1067-55,봉계경로당 옆 도로 마당,허리돌리기,2023-02-01
260,용진읍-용흥리-신당마을,용진읍 완주로 186-4,신당경로당 마당,달리기,2023-02-01
261,용진읍-용흥리-신당마을,용진읍 완주로 186-4,신당경로당 마당,허리돌리기,2023-02-01
262,용진읍-용흥리-시천마을,시천마을 모정 앞,시천마을 모정 앞,허리돌리기,2023-02-01
263,용진읍-용흥리-시천마을,시천마을 모정 앞,시천마을 모정 앞,팔돌리기,2023-02-01
264,용진읍-용흥리-시천마을,시천마을 모정 앞,시천마을 모정 앞,달리기,2023-02-01
265,용진읍-용흥리-부평마을,용진읍 부평길 29-1,부평경로당 마당,다리 쭉 뻗치기,2023-02-01
266,용진읍-용흥리-부평마을,용진읍 부평길 29-1,부평경로당 마당,허리돌리기,2023-02-01
267,용진읍-용흥리-부평마을,용진읍 부평길 29-1,부평경로당 마당,자전거 타기,2023-02-01
268,용진읍-용흥리-부평마을,부평마을 금성제,부평마을 금성제,말타기,2023-02-01
269,용진읍-용흥리-부평마을,부평마을 금성제,부평마을 금성제,자유평행봉,2023-02-01
