시설명,주소,기구수량,기구현황,담당부서
신월마을회관,경상남도 김해시 진례면 서부로 885번길 19,3,롤링웨이스트(1)+크로스컨트리(1)+롤링웨이스트(1),진례면
중리마을회관,경상남도 김해시 진례면 고모로 59번길 26,3,허리돌리기(1)+달리기(1)+하늘걷기(1),진례면
학성마을회관,경상남도 김해시 진례면 고모로 146번길 34,3,어깨운동(1)+하늘걷기(1)+허리돌리기(1),진례면
강변마을회관,경상남도 김해시 진례면 송현로 177번길 25,3,어깨운동(1)+역기밀기(1)+허리돌리기(1),진례면
오룡마을회관,경상남도 김해시 진례면 고모로 324번안길 56-2,3,양팔줄당기기(1)+어깨운동(1)+허리돌리기(1),진례면
담안마을회관,경상남도 김해시 진례면 고모로 324번길 103-5,3,허리돌리기(1)+달리기(1)+하늘걷기(1),진례면
하평마을회관,경상남도 김해시 진례면 고모로 327번길 54,3,허리돌리기(1)+달리기(1)+하늘걷기(1),진례면
상평마을회관,경상남도 김해시 진례면 고모로 353-11,3,허리돌리기(1)+어깨운동기(1)+하늘걷기(1),진례면
상우마을회관,경상남도 김해시 진례면 고모로 526번길 53,8,어깨운동(1)+자전거타기(1)+앉아허리돌리기(1)+하늘걷기(1)+양팔줄당기기(1)+가로타기(1)+달리기(1)+허리돌리기(1),진례면
상곤법마을회관,경상남도 김해시 진례면 진례로 371번길 77,3,양팔줄당기기(1)+달리기(1)+허리맛사지(1),진례면
하촌마을회관,경상남도 김해시 진례면 진례로 311번길 46-31,3,온몸노젖기(1)+역기당기기(1)+허리맛사지(1),진례면
청곡 클레이아크 4거리,경상남도 김해시 진례면 송정리 362-1(인도 양쪽),6,달리기(1)+하늘걷기(1)+윗몸일으키기(1)+가로타기(1)+양팔줄당기기(1)+허리돌리기(1),진례면
성우아파트 내,경상남도 김해시 진례면 송정리 252-1,3,양팔줄당기기(1)+하늘걷기(1)+허리돌리기(1),진례면
하둔덕마을회관,경상남도 김해시 진례면 서부로587번길 20,3,양팔줄당기기(1)+하늘걷기(1)+허리돌리기(1),진례면
상둔덕마을회관,경상남도 김해시 진례면 송현로 47번길 11,3,양팔줄당기기(1)+하늘걷기(1)+어깨운동(1),진례면
하곤법마을회관,경상남도 김해시 진례면 서부로476번길 37,3,허리돌리기(1)+하늘걷기(1)+양팔줄당기기(1),진례면
하촌마을쉼터(팔각정),경상남도 김해시 진례면 진례로311번길 51-31,3,윗몸일으키기(1)+가로타기(1)+허리돌리기(1),진례면
시례교 버스정류장,경상남도 김해시 송정리 1177-1(송정리 16-25 옆),3,윗몸일으키기(1)+가로타기(1)+허리돌리기(1),진례면
청곡저수지,경상남도 김해시 송정리 390-2,4,허리돌리기(1)+가로타기(1)+어깨운동(1)+하늘걷기(1),진례면
신안마을쉼터(팔각정),경상남도 김해시 신안리 326-1(신안리 331-1 앞),3,허리돌리기(1)+하늘걷기(1)+어깨운동(1),진례면
신안무송마을(진례저수지 아래),경상남도 김해시 신안리 637-7,3,달리기(1)+역기당기기(1)+허리돌리기(1),진례면
관동마을쉼터,경상남도 김해시 산본리 836,3,하늘걷기(1)+허리돌리리기(1)+어깨운동(1),진례면
용전마을(용전숲),경상남도 김해시 신월리 506-3,5,윗몸일으키기(1)+다리밀기(1)+허리돌리기(1)+팔돌리기(1)+어깨운동(1),진례면
신월마을회관,경상남도 김해시 서부로885번길 19(신월리 70-30),3,가로타기(1)+허리돌리기(1)+하늘걷기(1),진례면
화전마을쉼터(팔각정),경상남도 김해시 신월리 442-2,4,가로타기(1)+하늘걷기(1)+허리돌리기(1)+달리기(1),진례면
당리마을회관,경상남도 김해시 고모로216번길 67(송현리 646-4),2,허리돌리기(1)+가로타기(1),진례면
중리마을회관,경상남도 김해시 한림면 안곡리 268-2,6,역기당기기(1)+하늘걷기(1)+허리돌리기(1)+자전거(1)+팔운동(1)+가로타기(1),한림면
진말마을회관,경상남도 김해시 한림면 장방리 839-3 일원,2,어깨운동(1)+허리돌리기(1)+,한림면
안하마을회관,경상남도 김해시 한림면 안하리 666-1 일원,1,어깨운동(1),한림면
안하마을회관,경상남도 김해시 한림면 안하리 376 ,1,허리돌리기(1),한림면
인현마을회관,경상남도 김해시 한림면 명동리 681,2,자전거+허리돌리기(1)+팔운동·자전거(1),한림면
대항마을회관,경상남도 김해시 한림면 명동리 475-3 일원,2,허리돌리기(1) 팔운동(1),한림면
신전마을회관,경상남도 김해시 한림면 가산리 350-6 일원,4,자전거(1)+어깨운동(1)+옆파토타기(1)+허리돌리기(1),한림면
금음마을회관,경상남도 김해시 한림면 명동리 715 일원,4,가로타기1+어깨운동1+옆파도카기1+허리돌리기(1),한림면
시전마을회관,경상남도 김해시 한림면 시산리 183-19 일원,6,허리맛사지+하늘걷기(1)+팔운동+달리기(1)+앉아허리돌리기+하늘걷기(1)+양팔줄당기기+가로타기(1)+팔운동(1)+앉아허리돌리기(1),한림면
낙산마을회관,경상남도 김해시 한림면 명동리 126-16 일원,4,역기밀기·역기당기기(1)+달리기·어깨운동(1)+하늘걷기·팔운동(1)+허리돌리기(1),한림면
소업마을회관,경상남도 김해시 한림면 퇴래리 1181-15 일원,3,허리돌리기(1)+팔운동(1)+옆파도타기(1),한림면
가산마을회관,경상남도 김해시 한림면 가산리 186-7 일원,4,허리돌리기(1)+자전거(1)+양팔줄당기기(1)+팔운동(1),한림면
시산마을회관,경상남도 김해시 한림면 시산리 1224 일원,4,팔운동(1)+허리돌리기(1)+허리맛사지(1)+달리기(1),한림면
안곡마을회관,경상남도 김해시 한림면 안곡리 103,3,하늘걷기(1)+어깨운동(1)+허리돌리기(1),한림면
인현마을회관,경상남도 김해시 한림면 명동리 636-2,2,허리돌리기+앉아허리돌리기(1)+팔운동·역기당기기(1),한림면
퇴은마을회관,경상남도 김해시 한림면 퇴래리 174,4,가로타기(1)+양팔운동(1)+팔관절운동(1)+허리돌리기(1),한림면
모정마을회관,경상남도 김해시 한림면 금곡리 774-8 ,3,팔운동(1)+허리돌리기(1)+앉아허리돌리기(1),한림면
금곡마을회관,경상남도 김해시 한림면 금곡리 574 ,3,하늘걷기(1)+가로타기(1)+거꾸로매달리기(1),한림면
장방마을회관,경상남도 김해시 한림면 장방리 1015,1,팔운동·허리돌리기(1),한림면
부평마을회관,경상남도 김해시 한림면 장방리 2077,3,달리기(1)+허리돌리기(1)+가로타기(1),한림면
수조마을회관,경상남도 김해시 한림면 용덕리 639-2,4,허리돌리기(1)+하늘걷기(1)+가로타기(1)+팔운동(1),한림면
시산마을회관,경상남도 김해시 한림면 시산리 982,2,허리돌리기(1)+양팔줄당기기(1),한림면
시호2구마을회관,경상남도 김해시 한림면 시산리 441-2,2,역기당기기·역기밀기(1)+팔운동·허리돌리기(1),한림면
신봉마을회관,경상남도 김해시 한림면 장방리 1317-7,1,자전거(1),한림면
신촌마을회관,경상남도 김해시 한림면 장방리 718-16,2,팔운동(1)+앉아당기기(1),한림면
어은마을회관,경상남도 김해시 한림면 안하리 977-1 ,2,하늘걷기(1)+앉아허리돌리기(1),한림면
정촌마을회관,경상남도 김해시 한림면 금곡리 513-1,5,가로타기(1)+허리돌리기(1)+하늘걷기(1)+양팔줄당기기(1)+팔운동(1),한림면
진말마을회관,경상남도 김해시 한림면 장방리 843-7,2,어깨운동(1)+허리돌리기(1),한림면
덕촌마을회관,경상남도 김해시 한림면 신천리 3-1 ,2,팔운동+앉아허리돌리기(1)+허리돌리기+역기당기기(1),한림면
어병마을회관,경상남도 김해시 한림면 병동리 190-1,5,어깨운동(1)+가로타기(1)+허리돌리기(1)+노젓기(1)+등벤치(1),한림면
대현마을회관,경상남도 김해시 한림면 안하리 701-1 일원,2,하늘걷기(1)+자전거타기(1),한림면
가산마을회관,경상남도 김해시 한림면 가산리 507-1 일원,2,팔운동(1)+허리돌리기(1),한림면
삼미마을회관,경상남도 김해시 한림면 퇴래리 220,2,자전거·허리돌리기(1)+달리기+양팔줄당기기(1),한림면
상리마을회관,경상남도 김해시 한림면 안곡리 499-7,2,어깨운동+앉아허리돌리기(1)+자전거+윗몸일으키기(1),한림면
외오서마을회관,경상남도 김해시 한림면 금곡리 378-25,4,하늘걷기(1)+등맛사지(1)+어깨운동(1)+등벤치(1),한림면
두례마을회관,경상남도 김해시 한림면 명동리 441-2 일원,3,달리기(1)+허리돌리기(1)+등벤치(1),한림면
망천2구마을회관,경상남도 김해시 한림면 신천리 201-6 일원,2,팔운동(1)+양팔줄당기기(1),한림면
청원마을회관,경상남도 김해시 한림면 신천리 226-1 일원,3,달리기(1)+가로타기(1)+허리돌리기(1),한림면
시호2구마을회관,경상남도 김해시 한림면 장방리 458-4 일원,4,하늘걷기(1)+가로타기(1)+거꾸로매달리기(1)+어깨운동(1),한림면
한림3구마을회관,경상남도 김해시 한림면 장방리 469-28 일원,1,자전거타기+앉아밀어주기(1),한림면
망천2구마을회관,경상남도 김해시 한림면 신천리 216-24 일원,3,하늘걷기+앉아밀기(1)+양팔줄당기기+가로타기(1)+팔운동+달리기(1),한림면
망천1구마을회관,경상남도 김해시 한림면 신천리 400-1 일원,2,앉아밀기(1)+말타기(1),한림면
신천마을회관,경상남도 김해시 한림면 신천리 654-1 일원,2,양팔줄당기기+허리돌리기(1)+앉아밀기+팔운동(1),한림면
한림3구마을회관,경상남도 김해시 한림면 장방리 1317-1 일원,4,등벤치(1)+어깨운동(1)+허리돌리기(1)+말타기(1),한림면
신봉마을회관,경상남도 김해시 한림면 장방리 1313-80,3,팔굽혀펴기(1)+평행봉(1)+윗몸일으키기(1),한림면
한림1구마을회관,경상남도 김해시 한림면 장방리 1253-153 일원,4,달리기(1)+허리돌리기(1)+가로타기(1)+역기당기기(1),한림면
한림3구마을회관,경상남도 김해시 한림면 장방리 336-20 ,3,가로타기+앉아밀기(1)+허리돌리기+하늘걷기(1)+팔운동+달리기(1),한림면
상사촌마을공원,경상남도 김해시 생림면 사촌리 40,8,하늘걷기(1)+옆파도타기(1)+큰활차머신(1)+작은활차머신(1)+달리기(1)+자전거타기(1)+허리돌리기(1)+역기당기기(1),생림면
산성마을공원,경상남도 김해시 생림면 봉림로98번길 2,4,가로타기(1)+허리돌리기(1)+하늘걷기(1)+양팔줄당기기(1),생림면
마현마을공원,경상남도 김해시 생림면 봉림리 1004,2,등허리지압기(1)+온몸허리돌리기(1),생림면
분절마을공원,경상남도 김해시 생림면 장재로353번길 20-1,6,가로타기(1)+자전거타기(1)+양팔줄당기기(1)+허리돌리기(1)+어깨운동(1)+온몸노젖기(1),생림면
독산마을공원,경상남도 김해시 생림면 마사리 1463-4,2,허리돌리기(1)+원그리기(1),생림면
송촌마을공원,경상남도 김해시 생림면 마사리 191-1,7,어깨운동(1)+팔운동(1)+가로타기(1)+허리돌리기(1)+달리기(1)+하늘걷기(1)+양팔줄당기기(1),생림면
