소재지,운동기구1,운동기구2,운동기구3,운동기구4,운동기구5,운동기구6,운동기구7,운동기구8,운동기구9,운동기구10,운동기구11,운동기구12,관리부서
충청남도 천안시 입장면 율목길 17-7,몸통흔들기+큰팔돌리기,허리돌리기+공중걷기,종아리마사지+다리밀기,,,,,,,,,,체육진흥과
충청남도 천안시 입장면 내유리1길 104,허리돌리기+옆으로몸통흔들기,팔돌리기+공중걷기,종아리마사지+다리밀기,,,,,,,,,,체육진흥과
충청남도 천안시 입장면 입장시장2길 30-9,상체근육풀기,파도타기+오금펴기,공중걷기+노젓기,어깨유연성운동+허리돌리기,,,,,,,,,체육진흥과
충청남도 천안시 입장면 하장1길 22,허리돌리기+공중걷기,옆으로몸통흔들기+팔돌리기,다리밀기+허벅지종아리마사지,,,,,,,,,,체육진흥과
충청남도 천안시 입장면 쑥골길 19-7,오금펴기+파도타기,공중걷기+노젓기,허리돌리기+어께유연성운동,상체근육풀기,,,,,,,,,체육진흥과
충청남도 천안시 입장면 갈산길 17-4,허리돌리기+등허리지압기,오금펴기+파도타기,공중걷기+노젓기,,,,,,,,,,체육진흥과
충청남도 천안시 입장면 내유리1길 61,싸이클+허리돌리기,공중걷기+어깨근육풀기,,,,,,,,,,,체육진흥과
충청남도 천안시 입장면 연산홍3길 26-10,싸이클+허리돌리기,공중걷기+어깨근육풀기,,,,,,,,,,,체육진흥과
충청남도 천안시 입장면 반월길 25,하늘걷기+허리돌리기,싸이클링+오금펴기,,,,,,,,,,,체육진흥과
충청남도 천안시 입장면 효아촌상길 36-1,하늘걷기+허리돌리기,싸이클링+오금펴기,,,,,,,,,,,체육진흥과
충청남도 천안시 성정동 609-38,공중걷기,달리기,허리돌리기,상체근육풀기,윗몸일으키기,노젓기,래그프래스,,,,,,체육진흥과
충청남도 천안시 성정동 609-84,공중걷기,파도타기,허리돌리기,역기올리기,역기내리기,평행봉,,,,,,,체육진흥과
충청남도 천안시 와촌동 166-144,상체근육풀기,역기올리기,노젓기,래그프래스,철봉,,,,,,,,체육진흥과
충청남도 천안시 와촌동 166-95,허리돌리기,윗몸일으키기,작은활차+큰활차,공중걷기+파도타기,철봉,,,,,,,,체육진흥과
충청남도 천안시 성정동 193-51,싸이클+허리돌리기,공중걷기+어깨근육풀기,,,,,,,,,,,체육진흥과
충청남도 천안시 쌍용동 780,공중걷기,허리돌리기,등허리지압기,,,,,,,,,,체육진흥과
충청남도 천안시 쌍용동 1360,달리기+자전거,허리돌리기+어깨유연성운동,,,,,,,,,,,체육진흥과
충청남도 천안시 쌍용동 1564,허리돌리기,역기올리기,래그프래스,어깨근육풀기,역기내리기,노젓기,철봉,평행봉,,,,,체육진흥과
충청남도 천안시 두정동 1834,파도타기,상체근육풀기,달리기,역기올리기,노젓기,,,,,,,,체육진흥과
충청남도 천안시 업성동 593-1,윗몸일으키기,하체근육풀기,철봉,,,,,,,,,,체육진흥과
충청남도 천안시 업성동 모시1길 57,달리기+공중걷기,허리돌리기+어깨유연성 운동,,,,,,,,,,,체육진흥과
충청남도 천안시 신당동 194-4,하늘걷기+허리돌리기,로프당기기+옆파도타기,상체근육풀기+달리기,,,,,,,,,,체육진흥과
충청남도 천안시 목천읍 동평7길 18-14,오금펴기+ 상체근육풀기,허리돌리기,달리기+ 공중걷기,,,,,,,,,,체육진흥과
충청남도 천안시 목천읍 서흥5길 80,오금펴기 +상체근육풀기,허리돌리기,달리기+ 공중걷기,,,,,,,,,,체육진흥과
충청남도 천안시 목천읍 도장리 387,싸이클+ 허리돌리기,공중걷기+ 작은활차,,,,,,,,,,,체육진흥과
충청남도 천안시 목천읍 송전리 411-1,자전거+ 허리돌리기,공중걷기 +작은활차,,,,,,,,,,,체육진흥과
충청남도 천안시 목천읍 남화리 64-10,달리기+ 허리돌리기,파도타기+ 공중걷기,역기올리기+ 윗몸일으키기,,,,,,,,,,체육진흥과
충청남도 천안시 성남면 신사리 425-12,자전거+ 허리돌리기,공중걷기 +작은활차,,,,,,,,,,,체육진흥과
충청남도 천안시 성남면 봉양리 878-1,자전거+ 허리돌리기,공중걷기+ 작은활차,,,,,,,,,,,체육진흥과
충청남도 천안시 성남면 용원리 372-7,자전거+ 허리돌리기,공중걷기+ 작은활차,,,,,,,,,,,체육진흥과
충청남도 천안시 성남면 용원리 344-5,오금펴기 +상체근육풀기,허리돌리기,달리기  +공중걷기,,,,,,,,,,체육진흥과
충청남도 천안시 성남면 석곡리 89-1,어깨근육풀기,오금펴기 ,노젓기,,,,,,,,,,체육진흥과
충청남도 천안시 성남면 봉양리 622,오금펴기+ 상체근육풀기,허리돌리기,달리기+  공중걷기,,,,,,,,,,체육진흥과
충청남도 천안시 수신면 발산4길 214,오금펴기+상체근육풀기,허리돌리기,달리기+ 공중걷기,,,,,,,,,,체육진흥과
충청남도 천안시 병천면 가전리 577-8,오금펴기+ 상체근육풀기,허리돌리기,파도타기 + 노젓기,달리기+ 공중걷기,,,,,,,,,체육진흥과
충청남도 천안시 원성천2길 26,팔굽혀펴기,,,,,,,,,,,,체육진흥과
충청남도 천안시 구룡동 280-2,자전거타기+허리돌리기,달리기+공중걷기,,,,,,,,,,,체육진흥과
충청남도 천안시 입장면 호당리 235-3,자전거+ 허리돌리기,공중걷기+ 작은활차,,,,,,,,,,,체육진흥과
충청남도 천안시 성정동 679-22,공중걷기+파도타기,자전거+달리기,큰활차,허리돌리기,,,,,,,,,체육진흥과
충청남도 천안시 불당동 1435,거꾸리,달리기,,,,,,,,,,,체육진흥과
충청남도 천안시 풍세면 석우길 41,크로스컨트리+입식트위스트,롤링웨이스+워밍암,좌시사이클+체어풀,,,,,,,,,,체육진흥과
충청남도 천안시 풍세면 풍세로 75,크로스컨트리+입식트위스트,롤링웨이스+워밍암,좌시사이클+체어풀,,,,,,,,,,체육진흥과
충청남도 천안시 목천읍 남화리 283,큰활차,허리돌리기,공중걷기,,,,,,,,,,체육진흥과
충청남도 천안시 유량동 406-99,하늘걷기+허리돌리기,상체근육풀기+어깨근육풀기,,,,,,,,,,,체육진흥과
충청남도 천안시 봉명동 10-2(장항선 철도하부 체육시설),어깨근육풀기,온몸허리돌리기,온몸근육풀기,다리뻗치기,온몸역기내리기+온몸역기올리기,마라톤+하늘걷기,등허리지압기,온몸노젓기,,,,,체육진흥과
충청남도 천안시 봉명동 194-40(천안천변 산책로),큰활차+작은활차 머신,공중걷기+파도타기,윗몸일으키기,자유철봉,허리돌리기,,,,,,,,체육진흥과
