설치주소,설치기구 종류,담당부서,설치년도
충청남도 청양군 비봉면 장재리 142-5,공중걷기1개+ 허리돌리기1개,문화체육관광과,2012이전
충청남도 청양군 비봉면 양사리 375-8,공중걷기1개+ 파도타기1개,문화체육관광과,2012이전
충청남도 청양군 비봉면 양사리 1037,공중걷기1개+ 파도타기1개+  허리돌리기1개+ 다리운동기구1개,문화체육관광과,2012이전
충청남도 청양군 비봉면 록평리 291,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2014
충청남도 청양군 비봉면 장재리 365-1,허리돌리기1개,문화체육관광과,2015
충청남도 청양군 비봉면 사점리 487-5,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2015
충청남도 청양군 비봉면 관산리 148,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2015
충청남도 청양군 비봉면 양사리 404-2,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2015
충청남도 청양군 비봉면 중묵리 658-2,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2015
충청남도 청양군 비봉면 신원리 859-3,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2016
충청남도 청양군 비봉면 중묵리 247-23,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2016
충청남도 청양군 비봉면 용천리 275-7,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2016
충청남도 청양군 비봉면 신원리 779-1,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2017
충청남도 청양군 비봉면 록평리 128,허리돌리기1개+ 상체근육풀기1개+ 달리기유형1개+ 윗몸일으키기1개,농촌공동체과,2017
충청남도 청양군 비봉면 록평리 102-11,허리돌리기1개+ 달리기유형1개+ 역기올리기1개+ 하체근육풀기1개,농촌공동체과,2018
충청남도 청양군 비봉면 양사리 1074-2,허리돌리기1개+ 상체근육풀기1개,문화체육관광과, 
충청남도 청양군 비봉면 방한리 12-1,공중걷기1개+ 달리기유형1개,문화체육관광과, 
충청남도 청양군 비봉면 방한리 996-4,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2020
충청남도 청양군 비봉면 강정리 277-5,공중걷기1개+ 활차머신1개,문화체육관광과,2020
충청남도 청양군 비봉면 신원리 430,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2020
충청남도 청양군 비봉면 중묵리 548-1,양팔줄당기기1개+ 파도타기1개,문화체육관광과,2020
충청남도 청양군 비봉면 방한리 993,허리돌리기+ 등허리지압기+ 공중걷기,미래전략과,
충청남도 청양군 비봉면 용천리 307,공중걷기+ 매달리기+ 양팔줄당기기+ 등허리지압기,농촌공동체과,
