설치주소,설치기구 종류,담당부서,설치년도
충청남도 청양군 운곡면 영양리 165-1,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2020
충청남도 청양군 운곡면 영양리 406-1,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2020
충청남도 청양군 운곡면 후덕리 106-1,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2020
충청남도 청양군 운곡면 후덕리 856,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2020
충청남도 청양군 운곡면 효제리 351,파도타기+상체근육풀기+ 역기올리기+오금펴기+ 어깨근육풀기+허리돌리기,문화체육관광과,2021
"충청남도 청양군 운곡면 추광리 540-2, 540-6",싸이클링+오금펴기+ 로프당기기+옆파도타기+ 역기올리기+상체근육풀기,문화체육관광과,2022
충청남도 청양군 운곡면 모곡리 309-37,하늘걷기+허리돌리기+ 달리기+허리돌리기+ 역기올리기+상체근육풀기,문화체육관광과,2022
충청남도 청양군 운곡면 신대리 산70-2,싸이클링+오금펴기+ 로프당기기+옆파도타기 ,문화체육관광과,2022
충청남도 청양군 대치면 오룡리 113-3,허리돌리기1개+ 상체근육풀기1개+ 달리기유형1개,문화체육관광과,2013
충청남도 청양군 대치면 주정리 297-1,파도타기1개+ 허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2013
충청남도 청양군 대치면 작천리 58-1,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2014
충청남도 청양군 대치면 광대리 59,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2014
충청남도 청양군 대치면 주정리 81-3,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2015
충청남도 청양군 대치면 장곡리 192-9,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2015
충청남도 청양군 대치면 이화리 169,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2016
충청남도 청양군 대치면 상갑1길 7-4,허리돌리기1개+ 역기올리기1개,문화체육관광과,2016
충청남도 청양군 대치면 이화리 654-6,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2017
충청남도 청양군 대치면 형산리 240-3,공중걷기1개+ 허리돌리기1개,문화체육관광과,2017
충청남도 청양군 대치면 구치리 67-1,양팔줄당기기 1개+  달리기유형1개,문화체육관광과,2017
충청남도 청양군 대치면 상갑리 77,허리돌리기1개+ 윗몸일으키기 1개,문화체육관광과,2017
충청남도 청양군 대치면 이화리 488-2,허리돌리기1개+ 활차머신1개,문화체육관광과,2017
충청남도 청양군 대치면 대치리 83,공중걷기1개+ 허리돌리기1개+ 상체근육풀기1개+ 달리기유형1개,문화체육관광과,2017
충청남도 청양군 대치면 농소리 198-6,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2019
충청남도 청양군 대치면 형산리 192-1,허리돌리기1개+ 역기올리기1개+ 상체근육풀기1개,문화체육관광과,2019
충청남도 청양군 대치면 작천리 158,파도타기1개+ 달리기유형1개+ 줄당기기1개+ 자전가타기1개+ 등허리지압기1개+ 활차머신1개+ 레그프레스1개+ 허리돌리기1개,문화체육관광과,2019
충청남도 청양군 대치면 작천리 206,하이플리 1+ 등허리지압 1+ 허리돌리기 1+ 공중걷기 1+ 윗몸일으키기 1+ 체스트프레스 1+ 달리기 1개,문화체육관광과,2012
충청남도 청양군 대치면 시전리 743-5,허리돌리기1개+ 활차머신1개+ 공중걷기1개,문화체육관광과,2020
충청남도 청양군 대치면 탄정리 436-128,윗몸일으키기+공중걷기(1개)+   허리돌리기+큰활차(1개)+ 팔굽혀펴기 1개,문화체육관광과,2020
"충청남도 청양군 대치면 주정리 246-2, 237-1",상체근육풀기 1+ 허리돌리기 1+ 양팔줄다리기 1+ 역기올리기 1+ 공중걷기 1+ 윗몸일으키기 1개,문화체육관광과,2021
충청남도 청양군 대치면 주정리 545-30,레그프레스 1+ 허리돌리기 1+ 상체근육풀기 1+ 파도타기 1+ 공중걷기 1+ 윗몸일으키기 1개,문화체육관광과,2021
충청남도 청양군 대치면 탄정리 436-4/주정리 545-76,상체근육풀기/파도타기 1+ 허리돌리기/달리기 1+ 허리돌리기1+ 윗몸일으키기 1+ 공중걷기1개,문화체육관광과,2021
충청남도 청양군 대치면 작천리 81,활차머신 1+ 허리돌리기 1,문화체육관광과,2022
충청남도 청양군 정산면 역촌리 507-5,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2012
충청남도 청양군 정산면 역촌리 537-5,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2012
