시설명,대상지주소,운동기구수(종),운동기구명,위도,경도,관리기관,관리기관 연락처,기준일자
울산체육공원(옥외체육시설),울산광역시 남구 문수로 44,9,"오금펴기,허리돌리기,역기내리기,공중걷기,등허리지압기,평행봉, 3단철봉,물결타기,상체근육풀기",35.3213,129.1551,울산시설공단,052-220-2002,2022-07-01
울산체육공원(소광장),울산광역시 남구 문수로 44,4,"오금펴기,팔굽혀펴기,허리돌리기,윗몸일으키기",35.3203,129.1551,울산시설공단,052-220-2002,2022-07-01
울산대공원(호랑이발테라스),울산광역시 남구 대공원로 94,9,"체스트업 머신, 로라마사지머신, 레그스트레치머신, 트위스트머신,워킹트레이너머신, 크활차머신,싣업머신, 물결타기, 매달려허리돌리기",35.529404,129.295335,울산시설공단,052-271-8818,2022-07-01
울산대공원(산림놀이시설),울산광역시 남구 대공원로 94,4,"허리돌리기, 역기내리기, 하체근육풀기, 윗몸일으키기",35.530719,129.291404,울산시설공단,052-271-8818,2022-07-01
울산대공원(숲속오솔길),울산광역시 남구 대공원로 94,7,"작은활차머신, 레그프레스머신, 체스트풀머신, 로윙라이더머신, 스윙워크머신, 써핑롤링머신, 하체근육풀기",35.529171,129.28681,울산시설공단,052-271-8818,2022-07-01
울산대공원(다목적구장),울산광역시 남구 대공원로 94,9,"다리뻗기, 타원형 걷기, 어깨근육풀기, 허리등 안마기, 허리돌리기, 노젓기, 내리는 역기, 파도타기, 실외걷기",35.528232,129.305164,울산시설공단,052-271-8818,2022-07-01
울산종합운동장(보조경기장),울산광역시 중구 염포로 85,6,"허리등안마기, 자유철봉, 자유평행봉, 안마기, 발마사지기, 허리돌리기",35.56239,129.34687,울산시설공단,052-290-7253,2022-07-01
