실외운동기구설치주소,설치기구종류,담당부서,최근5년간설치현황,설치업체 운동기구 관리 횟수,고장여부
서울 광진구 아차산 내 (고구려정 주변),"허리돌리기, 평행봉, 윗몸일으키기, 철봉, 발걸어뒤로펴기",공원녹지과,수시설치 및 교체,수시점검,X
서울 광진구 아차산 내 (사방댐 주변),"공중걷기, 팔다리마사지, 허리돌리기, 등허리지압기, 어깨유연성운동, 윗몸일으키기, 옆파도타기",공원녹지과,수시설치 및 교체,수시점검,X
서울 광진구 아차산 내 (아차산클럽 주변),"옆파도타기, 허리돌리기, 역기내리기, 노젓기, 양팔줄당기기, 철봉, 하체근육풀기, 상체근육풀기, 윗몸일으키기, 마라톤운동, 발걸어뒤로펴기",공원녹지과,수시설치 및 교체,수시점검,X
서울 광진구 아차산 내 (게이트볼장 주변),"노젓기, 상체근육풀기, 허리돌리기, 공중걷기",공원녹지과,수시설치 및 교체,수시점검,X
서울 광진구 아차산 내 (지하약수터 주변),"허리돌리기, 파도타기, 오금펴기, 공중걷기",공원녹지과,수시설치 및 교체,수시점검,X
서울 광진구 아차산배수지지구 내 (홍련봉 공원),"공중걷기, 마라톤운동, 온몸근육풀기, 역기올리기, 옆파도타기, 허리돌리기",공원녹지과,수시설치 및 교체,수시점검,X
서울 광진구 긴골지구 내 (긴고랑 공원),"양팔줄당기기, 철봉, 거꾸로매달리기, 윗몸일으키기, 공중걷기, 허리돌리기, 옆파도타기, 온몸근육풀기, 마라톤운동, 노젓기, 오금펴기, 역기올리기",공원녹지과,수시설치 및 교체,수시점검,X
서울 광진구 긴골지구 내 (정자 주변),"오금펴기, 윗몸일으키기, 다리운동",공원녹지과,수시설치 및 교체,수시점검,X
서울 광진구 중곡지구 내 (뻥튀기공원 주변),"온몸근육풀기, 오금펴기, 마라톤운동, 허리돌리기, 팔돌리기, 옆파도타기, 공중걷기, 거꾸로매달리기",공원녹지과,수시설치 및 교체,수시점검,X
서울 광진구 중곡지구 내 (정자 주변),"허리돌리기, 윗몸일으키기, 역기올리기, 평행봉, 철봉",공원녹지과,수시설치 및 교체,수시점검,X
서울 광진구 중곡지구 내 (팔각정 주변),"공중걷기, 철봉, 파도타기, 평행봉",공원녹지과,수시설치 및 교체,수시점검,X
